#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_23_0 , AIR3 , 2000-01-23 , 17:45 , BASE2 , 2000-01-23 , 18:27
LEG_23_1 , BASE2 , 2000-01-23 , 19:24 , AIR2 , 2000-01-23 , 20:15
LEG_23_2 , AIR13 , 2000-01-23 , 13:20 , BASE2 , 2000-01-23 , 15:18
LEG_23_3 , BASE2 , 2000-01-23 , 10:41 , AIR13 , 2000-01-23 , 12:22
LEG_23_4 , AIR5 , 2000-01-23 , 20:35 , BASE2 , 2000-01-23 , 21:49
LEG_23_5 , BASE2 , 2000-01-23 , 23:11 , AIR4 , 2000-01-24 , 00:22
LEG_23_6 , AIR4 , 2000-01-23 , 23:00 , BASE2 , 2000-01-24 , 00:09
LEG_23_7 , BASE2 , 2000-01-23 , 14:21 , AIR6 , 2000-01-23 , 16:54
LEG_23_8 , AIR4 , 2000-01-23 , 12:20 , BASE2 , 2000-01-23 , 13:26
LEG_23_9 , AIR6 , 2000-01-23 , 17:40 , BASE2 , 2000-01-23 , 20:23
LEG_23_10 , BASE2 , 2000-01-23 , 21:16 , AIR11 , 2000-01-23 , 23:06
LEG_23_11 , AIR8 , 2000-01-23 , 12:40 , BASE1 , 2000-01-23 , 14:30
LEG_23_12 , BASE1 , 2000-01-23 , 15:24 , AIR9 , 2000-01-23 , 18:32
LEG_23_13 , BASE1 , 2000-01-23 , 18:30 , AIR9 , 2000-01-23 , 21:36
LEG_23_14 , AIR10 , 2000-01-23 , 14:20 , BASE1 , 2000-01-23 , 16:49
LEG_23_15 , AIR9 , 2000-01-23 , 17:05 , BASE2 , 2000-01-23 , 19:44
LEG_23_16 , BASE2 , 2000-01-23 , 21:06 , AIR4 , 2000-01-23 , 22:06
LEG_23_17 , BASE2 , 2000-01-23 , 00:59 , AIR2 , 2000-01-23 , 01:52
LEG_23_18 , AIR2 , 2000-01-23 , 19:30 , BASE1 , 2000-01-23 , 20:54
LEG_23_19 , BASE1 , 2000-01-23 , 22:01 , AIR10 , 2000-01-24 , 00:47
LEG_23_20 , BASE3 , 2000-01-23 , 14:05 , AIR9 , 2000-01-23 , 15:55
LEG_23_21 , AIR9 , 2000-01-23 , 19:20 , BASE3 , 2000-01-23 , 21:18
LEG_23_22 , AIR9 , 2000-01-23 , 23:05 , BASE3 , 2000-01-24 , 00:58
LEG_23_23 , BASE2 , 2000-01-23 , 17:47 , AIR2 , 2000-01-23 , 18:34
LEG_23_24 , AIR6 , 2000-01-23 , 14:00 , BASE2 , 2000-01-23 , 16:41
LEG_23_25 , BASE3 , 2000-01-23 , 22:20 , AIR6 , 2000-01-24 , 00:21
LEG_23_26 , AIR2 , 2000-01-23 , 11:10 , BASE2 , 2000-01-23 , 11:57
LEG_23_27 , BASE2 , 2000-01-23 , 13:12 , AIR17 , 2000-01-23 , 14:25
LEG_23_28 , AIR17 , 2000-01-23 , 15:40 , BASE2 , 2000-01-23 , 16:54
LEG_23_29 , BASE2 , 2000-01-23 , 17:56 , AIR5 , 2000-01-23 , 19:10
LEG_23_30 , BASE2 , 2000-01-23 , 16:13 , AIR3 , 2000-01-23 , 16:59
LEG_23_31 , BASE2 , 2000-01-23 , 23:26 , AIR8 , 2000-01-24 , 02:33
LEG_23_32 , AIR2 , 2000-01-23 , 21:00 , BASE2 , 2000-01-23 , 21:51
LEG_23_33 , AIR11 , 2000-01-23 , 00:00 , BASE2 , 2000-01-23 , 01:55
