#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_22_0 , AIR3 , 2000-01-22 , 17:45 , BASE2 , 2000-01-22 , 18:27
LEG_22_1 , BASE2 , 2000-01-22 , 19:24 , AIR2 , 2000-01-22 , 20:15
LEG_22_2 , AIR13 , 2000-01-22 , 13:20 , BASE2 , 2000-01-22 , 15:18
LEG_22_3 , BASE2 , 2000-01-22 , 10:41 , AIR13 , 2000-01-22 , 12:22
LEG_22_4 , AIR5 , 2000-01-22 , 20:35 , BASE2 , 2000-01-22 , 21:49
LEG_22_5 , BASE2 , 2000-01-22 , 23:11 , AIR4 , 2000-01-23 , 00:22
LEG_22_6 , AIR4 , 2000-01-22 , 23:00 , BASE2 , 2000-01-23 , 00:09
LEG_22_7 , BASE2 , 2000-01-22 , 14:21 , AIR6 , 2000-01-22 , 16:54
LEG_22_8 , AIR4 , 2000-01-22 , 12:20 , BASE2 , 2000-01-22 , 13:26
LEG_22_9 , AIR6 , 2000-01-22 , 17:40 , BASE2 , 2000-01-22 , 20:23
LEG_22_10 , BASE2 , 2000-01-22 , 21:16 , AIR11 , 2000-01-22 , 23:06
LEG_22_11 , AIR8 , 2000-01-22 , 12:40 , BASE1 , 2000-01-22 , 14:30
LEG_22_12 , BASE1 , 2000-01-22 , 15:24 , AIR9 , 2000-01-22 , 18:32
LEG_22_13 , BASE1 , 2000-01-22 , 18:30 , AIR9 , 2000-01-22 , 21:36
LEG_22_14 , AIR10 , 2000-01-22 , 14:20 , BASE1 , 2000-01-22 , 16:49
LEG_22_15 , AIR9 , 2000-01-22 , 17:05 , BASE2 , 2000-01-22 , 19:44
LEG_22_16 , BASE2 , 2000-01-22 , 21:06 , AIR4 , 2000-01-22 , 22:06
LEG_22_17 , BASE2 , 2000-01-22 , 00:59 , AIR2 , 2000-01-22 , 01:52
LEG_22_18 , AIR2 , 2000-01-22 , 19:30 , BASE1 , 2000-01-22 , 20:54
LEG_22_19 , BASE1 , 2000-01-22 , 22:01 , AIR10 , 2000-01-23 , 00:47
LEG_22_20 , BASE3 , 2000-01-22 , 14:05 , AIR9 , 2000-01-22 , 15:55
LEG_22_21 , AIR9 , 2000-01-22 , 19:20 , BASE3 , 2000-01-22 , 21:18
LEG_22_22 , AIR9 , 2000-01-22 , 23:05 , BASE3 , 2000-01-23 , 00:58
LEG_22_23 , BASE2 , 2000-01-22 , 17:47 , AIR2 , 2000-01-22 , 18:34
LEG_22_24 , AIR6 , 2000-01-22 , 14:00 , BASE2 , 2000-01-22 , 16:41
LEG_22_25 , BASE3 , 2000-01-22 , 22:20 , AIR6 , 2000-01-23 , 00:21
LEG_22_26 , AIR2 , 2000-01-22 , 11:10 , BASE2 , 2000-01-22 , 11:57
LEG_22_27 , BASE2 , 2000-01-22 , 13:12 , AIR17 , 2000-01-22 , 14:25
LEG_22_28 , AIR17 , 2000-01-22 , 15:40 , BASE2 , 2000-01-22 , 16:54
LEG_22_29 , BASE2 , 2000-01-22 , 17:56 , AIR5 , 2000-01-22 , 19:10
LEG_22_30 , BASE2 , 2000-01-22 , 16:13 , AIR3 , 2000-01-22 , 16:59
LEG_22_31 , BASE2 , 2000-01-22 , 23:26 , AIR8 , 2000-01-23 , 02:33
LEG_22_32 , AIR2 , 2000-01-22 , 21:00 , BASE2 , 2000-01-22 , 21:51
LEG_22_33 , AIR11 , 2000-01-22 , 00:00 , BASE2 , 2000-01-22 , 01:55
