#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_02_0 , AIR3 , 2000-01-02 , 17:45 , BASE2 , 2000-01-02 , 18:27
LEG_02_1 , BASE2 , 2000-01-02 , 19:24 , AIR2 , 2000-01-02 , 20:15
LEG_02_2 , AIR13 , 2000-01-02 , 13:20 , BASE2 , 2000-01-02 , 15:18
LEG_02_3 , BASE2 , 2000-01-02 , 10:41 , AIR13 , 2000-01-02 , 12:22
LEG_02_4 , AIR5 , 2000-01-02 , 20:35 , BASE2 , 2000-01-02 , 21:49
LEG_02_5 , BASE2 , 2000-01-02 , 23:11 , AIR4 , 2000-01-03 , 00:22
LEG_02_6 , BASE2 , 2000-01-02 , 14:21 , AIR6 , 2000-01-02 , 16:54
LEG_02_7 , AIR4 , 2000-01-02 , 12:20 , BASE2 , 2000-01-02 , 13:26
LEG_02_8 , AIR6 , 2000-01-02 , 17:40 , BASE2 , 2000-01-02 , 20:23
LEG_02_9 , BASE2 , 2000-01-02 , 21:19 , AIR7 , 2000-01-02 , 23:04
LEG_02_10 , AIR8 , 2000-01-02 , 12:40 , BASE1 , 2000-01-02 , 14:30
LEG_02_11 , BASE1 , 2000-01-02 , 15:24 , AIR9 , 2000-01-02 , 18:32
LEG_02_12 , BASE1 , 2000-01-02 , 18:30 , AIR9 , 2000-01-02 , 21:36
LEG_02_13 , AIR10 , 2000-01-02 , 14:20 , BASE1 , 2000-01-02 , 16:49
LEG_02_14 , BASE2 , 2000-01-02 , 21:16 , AIR11 , 2000-01-02 , 23:06
LEG_02_15 , AIR9 , 2000-01-02 , 17:05 , BASE2 , 2000-01-02 , 19:44
LEG_02_16 , AIR2 , 2000-01-02 , 19:30 , BASE1 , 2000-01-02 , 20:54
LEG_02_17 , BASE1 , 2000-01-02 , 22:01 , AIR10 , 2000-01-03 , 00:47
LEG_02_18 , BASE3 , 2000-01-02 , 14:05 , AIR9 , 2000-01-02 , 15:55
LEG_02_19 , AIR9 , 2000-01-02 , 19:20 , BASE3 , 2000-01-02 , 21:18
LEG_02_20 , AIR9 , 2000-01-02 , 23:05 , BASE3 , 2000-01-03 , 00:58
LEG_02_21 , BASE2 , 2000-01-02 , 17:56 , AIR5 , 2000-01-02 , 19:10
LEG_02_22 , AIR6 , 2000-01-02 , 14:00 , BASE2 , 2000-01-02 , 16:41
LEG_02_23 , BASE3 , 2000-01-02 , 22:20 , AIR6 , 2000-01-03 , 00:21
LEG_02_24 , AIR4 , 2000-01-02 , 23:00 , BASE2 , 2000-01-03 , 00:09
LEG_02_25 , BASE2 , 2000-01-02 , 01:04 , AIR12 , 2000-01-02 , 03:46
LEG_02_26 , BASE2 , 2000-01-02 , 17:47 , AIR2 , 2000-01-02 , 18:34
LEG_02_27 , AIR12 , 2000-01-02 , 13:45 , BASE2 , 2000-01-02 , 16:34
LEG_02_28 , AIR12 , 2000-01-02 , 17:00 , BASE2 , 2000-01-02 , 19:52
LEG_02_29 , BASE2 , 2000-01-02 , 21:06 , AIR4 , 2000-01-02 , 22:06
LEG_02_30 , BASE2 , 2000-01-02 , 12:59 , AIR12 , 2000-01-02 , 15:46
LEG_02_31 , BASE2 , 2000-01-02 , 16:13 , AIR3 , 2000-01-02 , 16:59
LEG_02_32 , AIR7 , 2000-01-02 , 10:10 , BASE2 , 2000-01-02 , 12:11
LEG_02_33 , BASE2 , 2000-01-02 , 23:26 , AIR8 , 2000-01-03 , 02:33
LEG_02_34 , AIR2 , 2000-01-02 , 21:00 , BASE2 , 2000-01-02 , 21:51
LEG_02_35 , AIR11 , 2000-01-02 , 00:00 , BASE2 , 2000-01-02 , 01:55
