#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_15_0 , AIR3 , 2000-01-15 , 17:45 , BASE2 , 2000-01-15 , 18:27
LEG_15_1 , BASE2 , 2000-01-15 , 19:24 , AIR2 , 2000-01-15 , 20:15
LEG_15_2 , AIR13 , 2000-01-15 , 13:20 , BASE2 , 2000-01-15 , 15:18
LEG_15_3 , BASE2 , 2000-01-15 , 10:41 , AIR13 , 2000-01-15 , 12:22
LEG_15_4 , AIR5 , 2000-01-15 , 20:35 , BASE2 , 2000-01-15 , 21:49
LEG_15_5 , BASE2 , 2000-01-15 , 23:11 , AIR4 , 2000-01-16 , 00:22
LEG_15_6 , AIR4 , 2000-01-15 , 23:00 , BASE2 , 2000-01-16 , 00:09
LEG_15_7 , BASE2 , 2000-01-15 , 14:21 , AIR6 , 2000-01-15 , 16:54
LEG_15_8 , AIR4 , 2000-01-15 , 12:20 , BASE2 , 2000-01-15 , 13:26
LEG_15_9 , AIR6 , 2000-01-15 , 17:40 , BASE2 , 2000-01-15 , 20:23
LEG_15_10 , BASE2 , 2000-01-15 , 21:16 , AIR11 , 2000-01-15 , 23:06
LEG_15_11 , AIR8 , 2000-01-15 , 12:40 , BASE1 , 2000-01-15 , 14:30
LEG_15_12 , BASE1 , 2000-01-15 , 15:24 , AIR9 , 2000-01-15 , 18:32
LEG_15_13 , BASE1 , 2000-01-15 , 18:30 , AIR9 , 2000-01-15 , 21:36
LEG_15_14 , AIR10 , 2000-01-15 , 14:20 , BASE1 , 2000-01-15 , 16:49
LEG_15_15 , AIR9 , 2000-01-15 , 17:05 , BASE2 , 2000-01-15 , 19:44
LEG_15_16 , BASE2 , 2000-01-15 , 21:06 , AIR4 , 2000-01-15 , 22:06
LEG_15_17 , BASE2 , 2000-01-15 , 00:59 , AIR2 , 2000-01-15 , 01:52
LEG_15_18 , AIR2 , 2000-01-15 , 19:30 , BASE1 , 2000-01-15 , 20:54
LEG_15_19 , BASE1 , 2000-01-15 , 22:01 , AIR10 , 2000-01-16 , 00:47
LEG_15_20 , BASE3 , 2000-01-15 , 14:05 , AIR9 , 2000-01-15 , 15:55
LEG_15_21 , AIR9 , 2000-01-15 , 19:20 , BASE3 , 2000-01-15 , 21:18
LEG_15_22 , AIR9 , 2000-01-15 , 23:05 , BASE3 , 2000-01-16 , 00:58
LEG_15_23 , BASE2 , 2000-01-15 , 17:47 , AIR2 , 2000-01-15 , 18:34
LEG_15_24 , AIR6 , 2000-01-15 , 14:00 , BASE2 , 2000-01-15 , 16:41
LEG_15_25 , BASE3 , 2000-01-15 , 22:20 , AIR6 , 2000-01-16 , 00:21
LEG_15_26 , AIR2 , 2000-01-15 , 11:10 , BASE2 , 2000-01-15 , 11:57
LEG_15_27 , BASE2 , 2000-01-15 , 13:12 , AIR17 , 2000-01-15 , 14:25
LEG_15_28 , AIR17 , 2000-01-15 , 15:40 , BASE2 , 2000-01-15 , 16:54
LEG_15_29 , BASE2 , 2000-01-15 , 17:56 , AIR5 , 2000-01-15 , 19:10
LEG_15_30 , BASE2 , 2000-01-15 , 16:13 , AIR3 , 2000-01-15 , 16:59
LEG_15_31 , BASE2 , 2000-01-15 , 23:26 , AIR8 , 2000-01-16 , 02:33
LEG_15_32 , AIR2 , 2000-01-15 , 21:00 , BASE2 , 2000-01-15 , 21:51
LEG_15_33 , AIR11 , 2000-01-15 , 00:00 , BASE2 , 2000-01-15 , 01:55
