#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_24_0 , AIR3 , 2000-01-24 , 17:45 , BASE2 , 2000-01-24 , 18:27
LEG_24_1 , BASE2 , 2000-01-24 , 19:24 , AIR2 , 2000-01-24 , 20:15
LEG_24_2 , AIR13 , 2000-01-24 , 13:20 , BASE2 , 2000-01-24 , 15:18
LEG_24_3 , BASE2 , 2000-01-24 , 10:41 , AIR13 , 2000-01-24 , 12:22
LEG_24_4 , AIR5 , 2000-01-24 , 20:35 , BASE2 , 2000-01-24 , 21:49
LEG_24_5 , BASE2 , 2000-01-24 , 23:11 , AIR4 , 2000-01-25 , 00:22
LEG_24_6 , AIR4 , 2000-01-24 , 23:00 , BASE2 , 2000-01-25 , 00:09
LEG_24_7 , BASE2 , 2000-01-24 , 14:21 , AIR6 , 2000-01-24 , 16:54
LEG_24_8 , AIR4 , 2000-01-24 , 12:20 , BASE2 , 2000-01-24 , 13:26
LEG_24_9 , AIR6 , 2000-01-24 , 17:40 , BASE2 , 2000-01-24 , 20:23
LEG_24_10 , BASE2 , 2000-01-24 , 21:16 , AIR11 , 2000-01-24 , 23:06
LEG_24_11 , AIR8 , 2000-01-24 , 12:40 , BASE1 , 2000-01-24 , 14:30
LEG_24_12 , BASE1 , 2000-01-24 , 15:24 , AIR9 , 2000-01-24 , 18:32
LEG_24_13 , BASE1 , 2000-01-24 , 18:30 , AIR9 , 2000-01-24 , 21:36
LEG_24_14 , AIR10 , 2000-01-24 , 14:20 , BASE1 , 2000-01-24 , 16:49
LEG_24_15 , AIR9 , 2000-01-24 , 17:05 , BASE2 , 2000-01-24 , 19:44
LEG_24_16 , BASE2 , 2000-01-24 , 21:06 , AIR4 , 2000-01-24 , 22:06
LEG_24_17 , BASE2 , 2000-01-24 , 00:59 , AIR2 , 2000-01-24 , 01:52
LEG_24_18 , AIR2 , 2000-01-24 , 19:30 , BASE1 , 2000-01-24 , 20:54
LEG_24_19 , BASE1 , 2000-01-24 , 22:01 , AIR10 , 2000-01-25 , 00:47
LEG_24_20 , BASE3 , 2000-01-24 , 14:05 , AIR9 , 2000-01-24 , 15:55
LEG_24_21 , AIR9 , 2000-01-24 , 19:20 , BASE3 , 2000-01-24 , 21:18
LEG_24_22 , AIR9 , 2000-01-24 , 23:05 , BASE3 , 2000-01-25 , 00:58
LEG_24_23 , BASE2 , 2000-01-24 , 17:47 , AIR2 , 2000-01-24 , 18:34
LEG_24_24 , AIR6 , 2000-01-24 , 14:00 , BASE2 , 2000-01-24 , 16:41
LEG_24_25 , BASE3 , 2000-01-24 , 22:20 , AIR6 , 2000-01-25 , 00:21
LEG_24_26 , AIR2 , 2000-01-24 , 11:10 , BASE2 , 2000-01-24 , 11:57
LEG_24_27 , BASE2 , 2000-01-24 , 13:12 , AIR17 , 2000-01-24 , 14:25
LEG_24_28 , AIR17 , 2000-01-24 , 15:40 , BASE2 , 2000-01-24 , 16:54
LEG_24_29 , BASE2 , 2000-01-24 , 17:56 , AIR5 , 2000-01-24 , 19:10
LEG_24_30 , BASE2 , 2000-01-24 , 16:13 , AIR3 , 2000-01-24 , 16:59
LEG_24_31 , BASE2 , 2000-01-24 , 23:26 , AIR8 , 2000-01-25 , 02:33
LEG_24_32 , AIR2 , 2000-01-24 , 21:00 , BASE2 , 2000-01-24 , 21:51
LEG_24_33 , AIR11 , 2000-01-24 , 00:00 , BASE2 , 2000-01-24 , 01:55
