#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_16_0 , AIR3 , 2000-01-16 , 17:45 , BASE2 , 2000-01-16 , 18:27
LEG_16_1 , BASE2 , 2000-01-16 , 19:24 , AIR2 , 2000-01-16 , 20:15
LEG_16_2 , AIR13 , 2000-01-16 , 13:20 , BASE2 , 2000-01-16 , 15:18
LEG_16_3 , BASE2 , 2000-01-16 , 10:41 , AIR13 , 2000-01-16 , 12:22
LEG_16_4 , AIR5 , 2000-01-16 , 20:35 , BASE2 , 2000-01-16 , 21:49
LEG_16_5 , BASE2 , 2000-01-16 , 23:11 , AIR4 , 2000-01-17 , 00:22
LEG_16_6 , AIR4 , 2000-01-16 , 23:00 , BASE2 , 2000-01-17 , 00:09
LEG_16_7 , BASE2 , 2000-01-16 , 14:21 , AIR6 , 2000-01-16 , 16:54
LEG_16_8 , AIR4 , 2000-01-16 , 12:20 , BASE2 , 2000-01-16 , 13:26
LEG_16_9 , AIR6 , 2000-01-16 , 17:40 , BASE2 , 2000-01-16 , 20:23
LEG_16_10 , BASE2 , 2000-01-16 , 21:16 , AIR11 , 2000-01-16 , 23:06
LEG_16_11 , AIR8 , 2000-01-16 , 12:40 , BASE1 , 2000-01-16 , 14:30
LEG_16_12 , BASE1 , 2000-01-16 , 15:24 , AIR9 , 2000-01-16 , 18:32
LEG_16_13 , BASE1 , 2000-01-16 , 18:30 , AIR9 , 2000-01-16 , 21:36
LEG_16_14 , AIR10 , 2000-01-16 , 14:20 , BASE1 , 2000-01-16 , 16:49
LEG_16_15 , AIR9 , 2000-01-16 , 17:05 , BASE2 , 2000-01-16 , 19:44
LEG_16_16 , BASE2 , 2000-01-16 , 21:06 , AIR4 , 2000-01-16 , 22:06
LEG_16_17 , BASE2 , 2000-01-16 , 00:59 , AIR2 , 2000-01-16 , 01:52
LEG_16_18 , AIR2 , 2000-01-16 , 19:30 , BASE1 , 2000-01-16 , 20:54
LEG_16_19 , BASE1 , 2000-01-16 , 22:01 , AIR10 , 2000-01-17 , 00:47
LEG_16_20 , BASE3 , 2000-01-16 , 14:05 , AIR9 , 2000-01-16 , 15:55
LEG_16_21 , AIR9 , 2000-01-16 , 19:20 , BASE3 , 2000-01-16 , 21:18
LEG_16_22 , AIR9 , 2000-01-16 , 23:05 , BASE3 , 2000-01-17 , 00:58
LEG_16_23 , BASE2 , 2000-01-16 , 17:47 , AIR2 , 2000-01-16 , 18:34
LEG_16_24 , AIR6 , 2000-01-16 , 14:00 , BASE2 , 2000-01-16 , 16:41
LEG_16_25 , BASE3 , 2000-01-16 , 22:20 , AIR6 , 2000-01-17 , 00:21
LEG_16_26 , AIR2 , 2000-01-16 , 11:10 , BASE2 , 2000-01-16 , 11:57
LEG_16_27 , BASE2 , 2000-01-16 , 13:12 , AIR17 , 2000-01-16 , 14:25
LEG_16_28 , AIR17 , 2000-01-16 , 15:40 , BASE2 , 2000-01-16 , 16:54
LEG_16_29 , BASE2 , 2000-01-16 , 17:56 , AIR5 , 2000-01-16 , 19:10
LEG_16_30 , BASE2 , 2000-01-16 , 16:13 , AIR3 , 2000-01-16 , 16:59
LEG_16_31 , BASE2 , 2000-01-16 , 23:26 , AIR8 , 2000-01-17 , 02:33
LEG_16_32 , AIR2 , 2000-01-16 , 21:00 , BASE2 , 2000-01-16 , 21:51
LEG_16_33 , AIR11 , 2000-01-16 , 00:00 , BASE2 , 2000-01-16 , 01:55
