#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_13_0 , AIR15 , 2000-01-13 , 21:05 , BASE1 , 2000-01-14 , 00:21
LEG_13_1 , BASE1 , 2000-01-13 , 12:18 , AIR16 , 2000-01-13 , 13:47
LEG_13_2 , AIR3 , 2000-01-13 , 17:45 , BASE2 , 2000-01-13 , 18:27
LEG_13_3 , BASE2 , 2000-01-13 , 19:24 , AIR2 , 2000-01-13 , 20:15
LEG_13_4 , AIR5 , 2000-01-13 , 20:35 , BASE2 , 2000-01-13 , 21:49
LEG_13_5 , BASE2 , 2000-01-13 , 23:11 , AIR4 , 2000-01-14 , 00:22
LEG_13_6 , BASE2 , 2000-01-13 , 21:19 , AIR7 , 2000-01-13 , 23:04
LEG_13_7 , AIR8 , 2000-01-13 , 12:40 , BASE1 , 2000-01-13 , 14:30
LEG_13_8 , BASE1 , 2000-01-13 , 15:24 , AIR9 , 2000-01-13 , 18:32
LEG_13_9 , BASE1 , 2000-01-13 , 18:30 , AIR9 , 2000-01-13 , 21:36
LEG_13_10 , AIR10 , 2000-01-13 , 14:20 , BASE1 , 2000-01-13 , 16:49
LEG_13_11 , AIR9 , 2000-01-13 , 17:05 , BASE2 , 2000-01-13 , 19:44
LEG_13_12 , AIR16 , 2000-01-13 , 14:55 , BASE2 , 2000-01-13 , 16:47
LEG_13_13 , AIR2 , 2000-01-13 , 19:30 , BASE1 , 2000-01-13 , 20:54
LEG_13_14 , BASE1 , 2000-01-13 , 22:01 , AIR10 , 2000-01-14 , 00:47
LEG_13_15 , BASE3 , 2000-01-13 , 14:05 , AIR9 , 2000-01-13 , 15:55
LEG_13_16 , AIR9 , 2000-01-13 , 19:20 , BASE3 , 2000-01-13 , 21:18
LEG_13_17 , AIR9 , 2000-01-13 , 23:05 , BASE3 , 2000-01-14 , 00:58
LEG_13_18 , BASE2 , 2000-01-13 , 17:56 , AIR5 , 2000-01-13 , 19:10
LEG_13_19 , AIR6 , 2000-01-13 , 14:00 , BASE2 , 2000-01-13 , 16:41
LEG_13_20 , BASE3 , 2000-01-13 , 22:20 , AIR6 , 2000-01-14 , 00:21
LEG_13_21 , AIR4 , 2000-01-13 , 23:00 , BASE2 , 2000-01-14 , 00:09
LEG_13_22 , BASE2 , 2000-01-13 , 01:04 , AIR12 , 2000-01-13 , 03:46
LEG_13_23 , BASE2 , 2000-01-13 , 17:47 , AIR2 , 2000-01-13 , 18:34
LEG_13_24 , AIR12 , 2000-01-13 , 13:45 , BASE2 , 2000-01-13 , 16:34
LEG_13_25 , AIR12 , 2000-01-13 , 17:00 , BASE2 , 2000-01-13 , 19:52
LEG_13_26 , BASE2 , 2000-01-13 , 21:06 , AIR4 , 2000-01-13 , 22:06
LEG_13_27 , BASE2 , 2000-01-13 , 12:59 , AIR12 , 2000-01-13 , 15:46
LEG_13_28 , BASE2 , 2000-01-13 , 16:13 , AIR3 , 2000-01-13 , 16:59
LEG_13_29 , BASE2 , 2000-01-13 , 17:53 , AIR15 , 2000-01-13 , 19:45
LEG_13_30 , BASE2 , 2000-01-13 , 23:26 , AIR8 , 2000-01-14 , 02:33
LEG_13_31 , AIR2 , 2000-01-13 , 21:00 , BASE2 , 2000-01-13 , 21:51
