#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_04_0 , AIR3 , 2000-01-04 , 17:45 , BASE2 , 2000-01-04 , 18:27
LEG_04_1 , BASE2 , 2000-01-04 , 19:24 , AIR2 , 2000-01-04 , 20:15
LEG_04_2 , AIR13 , 2000-01-04 , 13:20 , BASE2 , 2000-01-04 , 15:18
LEG_04_3 , BASE2 , 2000-01-04 , 10:41 , AIR13 , 2000-01-04 , 12:22
LEG_04_4 , AIR5 , 2000-01-04 , 20:35 , BASE2 , 2000-01-04 , 21:49
LEG_04_5 , BASE2 , 2000-01-04 , 23:11 , AIR4 , 2000-01-05 , 00:22
LEG_04_6 , BASE2 , 2000-01-04 , 14:21 , AIR6 , 2000-01-04 , 16:54
LEG_04_7 , AIR4 , 2000-01-04 , 12:20 , BASE2 , 2000-01-04 , 13:26
LEG_04_8 , AIR6 , 2000-01-04 , 17:40 , BASE2 , 2000-01-04 , 20:23
LEG_04_9 , BASE2 , 2000-01-04 , 21:19 , AIR7 , 2000-01-04 , 23:04
LEG_04_10 , AIR8 , 2000-01-04 , 12:40 , BASE1 , 2000-01-04 , 14:30
LEG_04_11 , BASE1 , 2000-01-04 , 15:24 , AIR9 , 2000-01-04 , 18:32
LEG_04_12 , BASE1 , 2000-01-04 , 18:30 , AIR9 , 2000-01-04 , 21:36
LEG_04_13 , AIR10 , 2000-01-04 , 14:20 , BASE1 , 2000-01-04 , 16:49
LEG_04_14 , BASE2 , 2000-01-04 , 21:16 , AIR11 , 2000-01-04 , 23:06
LEG_04_15 , AIR9 , 2000-01-04 , 17:05 , BASE2 , 2000-01-04 , 19:44
LEG_04_16 , AIR2 , 2000-01-04 , 19:30 , BASE1 , 2000-01-04 , 20:54
LEG_04_17 , BASE1 , 2000-01-04 , 22:01 , AIR10 , 2000-01-05 , 00:47
LEG_04_18 , BASE3 , 2000-01-04 , 14:05 , AIR9 , 2000-01-04 , 15:55
LEG_04_19 , AIR9 , 2000-01-04 , 19:20 , BASE3 , 2000-01-04 , 21:18
LEG_04_20 , AIR9 , 2000-01-04 , 23:05 , BASE3 , 2000-01-05 , 00:58
LEG_04_21 , BASE2 , 2000-01-04 , 17:56 , AIR5 , 2000-01-04 , 19:10
LEG_04_22 , AIR6 , 2000-01-04 , 14:00 , BASE2 , 2000-01-04 , 16:41
LEG_04_23 , BASE3 , 2000-01-04 , 22:20 , AIR6 , 2000-01-05 , 00:21
LEG_04_24 , AIR4 , 2000-01-04 , 23:00 , BASE2 , 2000-01-05 , 00:09
LEG_04_25 , BASE2 , 2000-01-04 , 01:04 , AIR12 , 2000-01-04 , 03:46
LEG_04_26 , BASE2 , 2000-01-04 , 17:47 , AIR2 , 2000-01-04 , 18:34
LEG_04_27 , AIR12 , 2000-01-04 , 13:45 , BASE2 , 2000-01-04 , 16:34
LEG_04_28 , AIR12 , 2000-01-04 , 17:00 , BASE2 , 2000-01-04 , 19:52
LEG_04_29 , BASE2 , 2000-01-04 , 21:06 , AIR4 , 2000-01-04 , 22:06
LEG_04_30 , BASE2 , 2000-01-04 , 12:59 , AIR12 , 2000-01-04 , 15:46
LEG_04_31 , BASE2 , 2000-01-04 , 16:13 , AIR3 , 2000-01-04 , 16:59
LEG_04_32 , AIR7 , 2000-01-04 , 10:10 , BASE2 , 2000-01-04 , 12:11
LEG_04_33 , BASE2 , 2000-01-04 , 23:26 , AIR8 , 2000-01-05 , 02:33
LEG_04_34 , AIR2 , 2000-01-04 , 21:00 , BASE2 , 2000-01-04 , 21:51
LEG_04_35 , AIR11 , 2000-01-04 , 00:00 , BASE2 , 2000-01-04 , 01:55
