#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_30_0 , BASE1 , 2000-01-30 , 13:00 , AIR1 , 2000-01-30 , 14:10
LEG_30_1 , BASE2 , 2000-01-30 , 18:56 , AIR15 , 2000-01-30 , 20:44
LEG_30_2 , BASE2 , 2000-01-30 , 15:15 , AIR6 , 2000-01-30 , 17:47
LEG_30_3 , BASE2 , 2000-01-30 , 20:38 , AIR6 , 2000-01-30 , 23:11
LEG_30_4 , AIR3 , 2000-01-30 , 18:45 , BASE2 , 2000-01-30 , 19:26
LEG_30_5 , AIR6 , 2000-01-30 , 18:05 , BASE2 , 2000-01-30 , 20:42
LEG_30_6 , AIR23 , 2000-01-30 , 14:20 , BASE1 , 2000-01-30 , 15:21
LEG_30_7 , BASE1 , 2000-01-30 , 16:24 , AIR9 , 2000-01-30 , 19:36
LEG_30_8 , BASE2 , 2000-01-30 , 22:05 , AIR20 , 2000-01-31 , 00:04
LEG_30_9 , AIR20 , 2000-01-30 , 01:10 , BASE2 , 2000-01-30 , 03:04
LEG_30_10 , AIR9 , 2000-01-30 , 22:00 , BASE2 , 2000-01-31 , 00:40
LEG_30_11 , AIR15 , 2000-01-30 , 00:05 , BASE1 , 2000-01-30 , 03:20
LEG_30_12 , BASE3 , 2000-01-30 , 19:00 , AIR9 , 2000-01-30 , 20:47
LEG_30_13 , AIR9 , 2000-01-30 , 20:20 , BASE3 , 2000-01-30 , 22:23
LEG_30_14 , AIR3 , 2000-01-30 , 12:00 , BASE2 , 2000-01-30 , 12:47
LEG_30_15 , BASE2 , 2000-01-30 , 14:13 , AIR21 , 2000-01-30 , 17:03
LEG_30_16 , BASE2 , 2000-01-30 , 21:57 , AIR14 , 2000-01-30 , 22:48
LEG_30_17 , AIR21 , 2000-01-30 , 18:15 , BASE2 , 2000-01-30 , 21:10
LEG_30_18 , AIR6 , 2000-01-30 , 15:45 , BASE3 , 2000-01-30 , 17:47
LEG_30_19 , AIR6 , 2000-01-30 , 00:15 , BASE3 , 2000-01-30 , 02:19
LEG_30_20 , BASE3 , 2000-01-30 , 23:20 , AIR6 , 2000-01-31 , 01:13
LEG_30_21 , BASE3 , 2000-01-30 , 15:10 , AIR6 , 2000-01-30 , 17:05
LEG_30_22 , AIR1 , 2000-01-30 , 15:05 , BASE2 , 2000-01-30 , 16:19
LEG_30_23 , BASE2 , 2000-01-30 , 17:13 , AIR3 , 2000-01-30 , 17:50
LEG_30_24 , AIR14 , 2000-01-30 , 23:40 , BASE1 , 2000-01-31 , 01:50
LEG_30_25 , BASE1 , 2000-01-30 , 02:50 , AIR23 , 2000-01-30 , 03:49
LEG_30_26 , AIR2 , 2000-01-30 , 00:15 , BASE2 , 2000-01-30 , 01:02
LEG_30_27 , BASE2 , 2000-01-30 , 02:22 , AIR3 , 2000-01-30 , 02:59
LEG_30_28 , BASE2 , 2000-01-30 , 22:12 , AIR2 , 2000-01-30 , 23:01
LEG_30_29 , AIR6 , 2000-01-30 , 18:40 , BASE2 , 2000-01-30 , 21:17
