#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_07_0 , BASE1 , 2000-01-07 , 12:00 , AIR1 , 2000-01-07 , 13:13
LEG_07_1 , AIR1 , 2000-01-07 , 14:05 , BASE2 , 2000-01-07 , 15:19
LEG_07_2 , AIR3 , 2000-01-07 , 17:45 , BASE2 , 2000-01-07 , 18:27
LEG_07_3 , BASE2 , 2000-01-07 , 19:24 , AIR2 , 2000-01-07 , 20:15
LEG_07_4 , AIR5 , 2000-01-07 , 20:35 , BASE2 , 2000-01-07 , 21:49
LEG_07_5 , BASE2 , 2000-01-07 , 23:11 , AIR4 , 2000-01-08 , 00:22
LEG_07_6 , BASE2 , 2000-01-07 , 14:21 , AIR6 , 2000-01-07 , 16:54
LEG_07_7 , AIR4 , 2000-01-07 , 12:20 , BASE2 , 2000-01-07 , 13:26
LEG_07_8 , AIR6 , 2000-01-07 , 17:40 , BASE2 , 2000-01-07 , 20:23
LEG_07_9 , BASE2 , 2000-01-07 , 21:19 , AIR7 , 2000-01-07 , 23:04
LEG_07_10 , AIR8 , 2000-01-07 , 12:40 , BASE1 , 2000-01-07 , 14:30
LEG_07_11 , BASE1 , 2000-01-07 , 15:24 , AIR9 , 2000-01-07 , 18:32
LEG_07_12 , BASE1 , 2000-01-07 , 18:30 , AIR9 , 2000-01-07 , 21:36
LEG_07_13 , AIR10 , 2000-01-07 , 14:20 , BASE1 , 2000-01-07 , 16:49
LEG_07_14 , BASE2 , 2000-01-07 , 21:16 , AIR11 , 2000-01-07 , 23:06
LEG_07_15 , AIR9 , 2000-01-07 , 17:05 , BASE2 , 2000-01-07 , 19:44
LEG_07_16 , AIR2 , 2000-01-07 , 19:30 , BASE1 , 2000-01-07 , 20:54
LEG_07_17 , BASE1 , 2000-01-07 , 22:01 , AIR10 , 2000-01-08 , 00:47
LEG_07_18 , BASE3 , 2000-01-07 , 14:05 , AIR9 , 2000-01-07 , 15:55
LEG_07_19 , AIR9 , 2000-01-07 , 19:20 , BASE3 , 2000-01-07 , 21:18
LEG_07_20 , AIR9 , 2000-01-07 , 23:05 , BASE3 , 2000-01-08 , 00:58
LEG_07_21 , BASE2 , 2000-01-07 , 17:56 , AIR5 , 2000-01-07 , 19:10
LEG_07_22 , AIR6 , 2000-01-07 , 14:00 , BASE2 , 2000-01-07 , 16:41
LEG_07_23 , BASE3 , 2000-01-07 , 22:20 , AIR6 , 2000-01-08 , 00:21
LEG_07_24 , AIR4 , 2000-01-07 , 23:00 , BASE2 , 2000-01-08 , 00:09
LEG_07_25 , BASE2 , 2000-01-07 , 01:04 , AIR12 , 2000-01-07 , 03:46
LEG_07_26 , BASE2 , 2000-01-07 , 17:47 , AIR2 , 2000-01-07 , 18:34
LEG_07_27 , AIR12 , 2000-01-07 , 13:45 , BASE2 , 2000-01-07 , 16:34
LEG_07_28 , AIR12 , 2000-01-07 , 17:00 , BASE2 , 2000-01-07 , 19:52
LEG_07_29 , BASE2 , 2000-01-07 , 21:06 , AIR4 , 2000-01-07 , 22:06
LEG_07_30 , BASE2 , 2000-01-07 , 12:59 , AIR12 , 2000-01-07 , 15:46
LEG_07_31 , BASE2 , 2000-01-07 , 16:13 , AIR3 , 2000-01-07 , 16:59
LEG_07_32 , AIR7 , 2000-01-07 , 10:10 , BASE2 , 2000-01-07 , 12:11
LEG_07_33 , BASE2 , 2000-01-07 , 23:26 , AIR8 , 2000-01-08 , 02:33
LEG_07_34 , AIR2 , 2000-01-07 , 21:00 , BASE2 , 2000-01-07 , 21:51
