#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_10_0 , AIR3 , 2000-01-10 , 17:45 , BASE2 , 2000-01-10 , 18:27
LEG_10_1 , BASE2 , 2000-01-10 , 19:24 , AIR2 , 2000-01-10 , 20:15
LEG_10_2 , AIR13 , 2000-01-10 , 13:20 , BASE2 , 2000-01-10 , 15:18
LEG_10_3 , BASE2 , 2000-01-10 , 10:41 , AIR13 , 2000-01-10 , 12:22
LEG_10_4 , AIR5 , 2000-01-10 , 20:35 , BASE2 , 2000-01-10 , 21:49
LEG_10_5 , BASE2 , 2000-01-10 , 23:11 , AIR4 , 2000-01-11 , 00:22
LEG_10_6 , BASE2 , 2000-01-10 , 14:21 , AIR6 , 2000-01-10 , 16:54
LEG_10_7 , AIR4 , 2000-01-10 , 12:20 , BASE2 , 2000-01-10 , 13:26
LEG_10_8 , AIR6 , 2000-01-10 , 17:40 , BASE2 , 2000-01-10 , 20:23
LEG_10_9 , BASE2 , 2000-01-10 , 21:19 , AIR7 , 2000-01-10 , 23:04
LEG_10_10 , AIR8 , 2000-01-10 , 12:40 , BASE1 , 2000-01-10 , 14:30
LEG_10_11 , BASE1 , 2000-01-10 , 15:24 , AIR9 , 2000-01-10 , 18:32
LEG_10_12 , BASE1 , 2000-01-10 , 18:30 , AIR9 , 2000-01-10 , 21:36
LEG_10_13 , AIR10 , 2000-01-10 , 14:20 , BASE1 , 2000-01-10 , 16:49
LEG_10_14 , BASE2 , 2000-01-10 , 21:16 , AIR11 , 2000-01-10 , 23:06
LEG_10_15 , AIR9 , 2000-01-10 , 17:05 , BASE2 , 2000-01-10 , 19:44
LEG_10_16 , AIR2 , 2000-01-10 , 19:30 , BASE1 , 2000-01-10 , 20:54
LEG_10_17 , BASE1 , 2000-01-10 , 22:01 , AIR10 , 2000-01-11 , 00:47
LEG_10_18 , BASE3 , 2000-01-10 , 14:05 , AIR9 , 2000-01-10 , 15:55
LEG_10_19 , AIR9 , 2000-01-10 , 19:20 , BASE3 , 2000-01-10 , 21:18
LEG_10_20 , AIR9 , 2000-01-10 , 23:05 , BASE3 , 2000-01-11 , 00:58
LEG_10_21 , BASE2 , 2000-01-10 , 17:56 , AIR5 , 2000-01-10 , 19:10
LEG_10_22 , AIR6 , 2000-01-10 , 14:00 , BASE2 , 2000-01-10 , 16:41
LEG_10_23 , BASE3 , 2000-01-10 , 22:20 , AIR6 , 2000-01-11 , 00:21
LEG_10_24 , AIR4 , 2000-01-10 , 23:00 , BASE2 , 2000-01-11 , 00:09
LEG_10_25 , BASE2 , 2000-01-10 , 01:04 , AIR12 , 2000-01-10 , 03:46
LEG_10_26 , BASE2 , 2000-01-10 , 17:47 , AIR2 , 2000-01-10 , 18:34
LEG_10_27 , AIR12 , 2000-01-10 , 13:45 , BASE2 , 2000-01-10 , 16:34
LEG_10_28 , AIR12 , 2000-01-10 , 17:00 , BASE2 , 2000-01-10 , 19:52
LEG_10_29 , BASE2 , 2000-01-10 , 21:06 , AIR4 , 2000-01-10 , 22:06
LEG_10_30 , BASE2 , 2000-01-10 , 12:59 , AIR12 , 2000-01-10 , 15:46
LEG_10_31 , BASE2 , 2000-01-10 , 16:13 , AIR3 , 2000-01-10 , 16:59
LEG_10_32 , AIR7 , 2000-01-10 , 10:10 , BASE2 , 2000-01-10 , 12:11
LEG_10_33 , BASE2 , 2000-01-10 , 23:26 , AIR8 , 2000-01-11 , 02:33
LEG_10_34 , AIR2 , 2000-01-10 , 21:00 , BASE2 , 2000-01-10 , 21:51
LEG_10_35 , AIR11 , 2000-01-10 , 00:00 , BASE2 , 2000-01-10 , 01:55
