#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_09_0 , AIR3 , 2000-01-09 , 17:45 , BASE2 , 2000-01-09 , 18:27
LEG_09_1 , BASE2 , 2000-01-09 , 19:24 , AIR2 , 2000-01-09 , 20:15
LEG_09_2 , AIR13 , 2000-01-09 , 13:20 , BASE2 , 2000-01-09 , 15:18
LEG_09_3 , BASE2 , 2000-01-09 , 10:41 , AIR13 , 2000-01-09 , 12:22
LEG_09_4 , AIR5 , 2000-01-09 , 20:35 , BASE2 , 2000-01-09 , 21:49
LEG_09_5 , BASE2 , 2000-01-09 , 23:11 , AIR4 , 2000-01-10 , 00:22
LEG_09_6 , BASE2 , 2000-01-09 , 14:21 , AIR6 , 2000-01-09 , 16:54
LEG_09_7 , AIR4 , 2000-01-09 , 12:20 , BASE2 , 2000-01-09 , 13:26
LEG_09_8 , AIR6 , 2000-01-09 , 17:40 , BASE2 , 2000-01-09 , 20:23
LEG_09_9 , BASE2 , 2000-01-09 , 21:19 , AIR7 , 2000-01-09 , 23:04
LEG_09_10 , AIR8 , 2000-01-09 , 12:40 , BASE1 , 2000-01-09 , 14:30
LEG_09_11 , BASE1 , 2000-01-09 , 15:24 , AIR9 , 2000-01-09 , 18:32
LEG_09_12 , BASE1 , 2000-01-09 , 18:30 , AIR9 , 2000-01-09 , 21:36
LEG_09_13 , AIR10 , 2000-01-09 , 14:20 , BASE1 , 2000-01-09 , 16:49
LEG_09_14 , BASE2 , 2000-01-09 , 21:16 , AIR11 , 2000-01-09 , 23:06
LEG_09_15 , AIR9 , 2000-01-09 , 17:05 , BASE2 , 2000-01-09 , 19:44
LEG_09_16 , AIR2 , 2000-01-09 , 19:30 , BASE1 , 2000-01-09 , 20:54
LEG_09_17 , BASE1 , 2000-01-09 , 22:01 , AIR10 , 2000-01-10 , 00:47
LEG_09_18 , BASE3 , 2000-01-09 , 14:05 , AIR9 , 2000-01-09 , 15:55
LEG_09_19 , AIR9 , 2000-01-09 , 19:20 , BASE3 , 2000-01-09 , 21:18
LEG_09_20 , AIR9 , 2000-01-09 , 23:05 , BASE3 , 2000-01-10 , 00:58
LEG_09_21 , BASE2 , 2000-01-09 , 17:56 , AIR5 , 2000-01-09 , 19:10
LEG_09_22 , AIR6 , 2000-01-09 , 14:00 , BASE2 , 2000-01-09 , 16:41
LEG_09_23 , BASE3 , 2000-01-09 , 22:20 , AIR6 , 2000-01-10 , 00:21
LEG_09_24 , AIR4 , 2000-01-09 , 23:00 , BASE2 , 2000-01-10 , 00:09
LEG_09_25 , BASE2 , 2000-01-09 , 01:04 , AIR12 , 2000-01-09 , 03:46
LEG_09_26 , BASE2 , 2000-01-09 , 17:47 , AIR2 , 2000-01-09 , 18:34
LEG_09_27 , AIR12 , 2000-01-09 , 13:45 , BASE2 , 2000-01-09 , 16:34
LEG_09_28 , AIR12 , 2000-01-09 , 17:00 , BASE2 , 2000-01-09 , 19:52
LEG_09_29 , BASE2 , 2000-01-09 , 21:06 , AIR4 , 2000-01-09 , 22:06
LEG_09_30 , BASE2 , 2000-01-09 , 12:59 , AIR12 , 2000-01-09 , 15:46
LEG_09_31 , BASE2 , 2000-01-09 , 16:13 , AIR3 , 2000-01-09 , 16:59
LEG_09_32 , AIR7 , 2000-01-09 , 10:10 , BASE2 , 2000-01-09 , 12:11
LEG_09_33 , BASE2 , 2000-01-09 , 23:26 , AIR8 , 2000-01-10 , 02:33
LEG_09_34 , AIR2 , 2000-01-09 , 21:00 , BASE2 , 2000-01-09 , 21:51
LEG_09_35 , AIR11 , 2000-01-09 , 00:00 , BASE2 , 2000-01-09 , 01:55
