#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_28_0 , BASE1 , 2000-01-28 , 13:00 , AIR1 , 2000-01-28 , 14:10
LEG_28_1 , BASE2 , 2000-01-28 , 18:56 , AIR15 , 2000-01-28 , 20:44
LEG_28_2 , BASE2 , 2000-01-28 , 15:15 , AIR6 , 2000-01-28 , 17:47
LEG_28_3 , BASE2 , 2000-01-28 , 20:38 , AIR6 , 2000-01-28 , 23:11
LEG_28_4 , AIR3 , 2000-01-28 , 18:45 , BASE2 , 2000-01-28 , 19:26
LEG_28_5 , AIR6 , 2000-01-28 , 18:05 , BASE2 , 2000-01-28 , 20:42
LEG_28_6 , AIR23 , 2000-01-28 , 14:20 , BASE1 , 2000-01-28 , 15:21
LEG_28_7 , BASE1 , 2000-01-28 , 16:24 , AIR9 , 2000-01-28 , 19:36
LEG_28_8 , BASE2 , 2000-01-28 , 22:05 , AIR20 , 2000-01-29 , 00:04
LEG_28_9 , AIR20 , 2000-01-28 , 01:10 , BASE2 , 2000-01-28 , 03:04
LEG_28_10 , AIR9 , 2000-01-28 , 22:00 , BASE2 , 2000-01-29 , 00:40
LEG_28_11 , AIR22 , 2000-01-28 , 00:20 , BASE1 , 2000-01-28 , 01:59
LEG_28_12 , AIR15 , 2000-01-28 , 00:05 , BASE1 , 2000-01-28 , 03:20
LEG_28_13 , BASE1 , 2000-01-28 , 12:50 , BASE2 , 2000-01-28 , 14:28
LEG_28_14 , BASE3 , 2000-01-28 , 19:00 , AIR9 , 2000-01-28 , 20:47
LEG_28_15 , AIR9 , 2000-01-28 , 20:20 , BASE3 , 2000-01-28 , 22:23
LEG_28_16 , AIR3 , 2000-01-28 , 12:00 , BASE2 , 2000-01-28 , 12:47
LEG_28_17 , BASE2 , 2000-01-28 , 14:13 , AIR21 , 2000-01-28 , 17:03
LEG_28_18 , BASE2 , 2000-01-28 , 21:57 , AIR14 , 2000-01-28 , 22:48
LEG_28_19 , AIR21 , 2000-01-28 , 18:15 , BASE2 , 2000-01-28 , 21:10
LEG_28_20 , AIR6 , 2000-01-28 , 15:45 , BASE3 , 2000-01-28 , 17:47
LEG_28_21 , AIR6 , 2000-01-28 , 00:15 , BASE3 , 2000-01-28 , 02:19
LEG_28_22 , BASE3 , 2000-01-28 , 23:20 , AIR6 , 2000-01-29 , 01:13
LEG_28_23 , BASE3 , 2000-01-28 , 15:10 , AIR6 , 2000-01-28 , 17:05
LEG_28_24 , AIR1 , 2000-01-28 , 15:05 , BASE2 , 2000-01-28 , 16:19
LEG_28_25 , BASE2 , 2000-01-28 , 17:13 , AIR3 , 2000-01-28 , 17:50
LEG_28_26 , AIR14 , 2000-01-28 , 23:40 , BASE1 , 2000-01-29 , 01:50
LEG_28_27 , BASE1 , 2000-01-28 , 02:50 , AIR23 , 2000-01-28 , 03:49
LEG_28_28 , BASE2 , 2000-01-28 , 02:22 , AIR3 , 2000-01-28 , 02:59
LEG_28_29 , BASE2 , 2000-01-28 , 22:12 , AIR2 , 2000-01-28 , 23:01
LEG_28_30 , AIR6 , 2000-01-28 , 18:40 , BASE2 , 2000-01-28 , 21:17
