#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_17_0 , AIR3 , 2000-01-17 , 17:45 , BASE2 , 2000-01-17 , 18:27
LEG_17_1 , BASE2 , 2000-01-17 , 19:24 , AIR2 , 2000-01-17 , 20:15
LEG_17_2 , AIR13 , 2000-01-17 , 13:20 , BASE2 , 2000-01-17 , 15:18
LEG_17_3 , BASE2 , 2000-01-17 , 10:41 , AIR13 , 2000-01-17 , 12:22
LEG_17_4 , AIR5 , 2000-01-17 , 20:35 , BASE2 , 2000-01-17 , 21:49
LEG_17_5 , BASE2 , 2000-01-17 , 23:11 , AIR4 , 2000-01-18 , 00:22
LEG_17_6 , AIR4 , 2000-01-17 , 23:00 , BASE2 , 2000-01-18 , 00:09
LEG_17_7 , BASE2 , 2000-01-17 , 14:21 , AIR6 , 2000-01-17 , 16:54
LEG_17_8 , AIR4 , 2000-01-17 , 12:20 , BASE2 , 2000-01-17 , 13:26
LEG_17_9 , AIR6 , 2000-01-17 , 17:40 , BASE2 , 2000-01-17 , 20:23
LEG_17_10 , BASE2 , 2000-01-17 , 21:16 , AIR11 , 2000-01-17 , 23:06
LEG_17_11 , AIR8 , 2000-01-17 , 12:40 , BASE1 , 2000-01-17 , 14:30
LEG_17_12 , BASE1 , 2000-01-17 , 15:24 , AIR9 , 2000-01-17 , 18:32
LEG_17_13 , BASE1 , 2000-01-17 , 18:30 , AIR9 , 2000-01-17 , 21:36
LEG_17_14 , AIR10 , 2000-01-17 , 14:20 , BASE1 , 2000-01-17 , 16:49
LEG_17_15 , AIR9 , 2000-01-17 , 17:05 , BASE2 , 2000-01-17 , 19:44
LEG_17_16 , BASE2 , 2000-01-17 , 21:06 , AIR4 , 2000-01-17 , 22:06
LEG_17_17 , BASE2 , 2000-01-17 , 00:59 , AIR2 , 2000-01-17 , 01:52
LEG_17_18 , AIR2 , 2000-01-17 , 19:30 , BASE1 , 2000-01-17 , 20:54
LEG_17_19 , BASE1 , 2000-01-17 , 22:01 , AIR10 , 2000-01-18 , 00:47
LEG_17_20 , BASE3 , 2000-01-17 , 14:05 , AIR9 , 2000-01-17 , 15:55
LEG_17_21 , AIR9 , 2000-01-17 , 19:20 , BASE3 , 2000-01-17 , 21:18
LEG_17_22 , AIR9 , 2000-01-17 , 23:05 , BASE3 , 2000-01-18 , 00:58
LEG_17_23 , BASE2 , 2000-01-17 , 17:47 , AIR2 , 2000-01-17 , 18:34
LEG_17_24 , AIR6 , 2000-01-17 , 14:00 , BASE2 , 2000-01-17 , 16:41
LEG_17_25 , BASE3 , 2000-01-17 , 22:20 , AIR6 , 2000-01-18 , 00:21
LEG_17_26 , AIR2 , 2000-01-17 , 11:10 , BASE2 , 2000-01-17 , 11:57
LEG_17_27 , BASE2 , 2000-01-17 , 13:12 , AIR17 , 2000-01-17 , 14:25
LEG_17_28 , AIR17 , 2000-01-17 , 15:40 , BASE2 , 2000-01-17 , 16:54
LEG_17_29 , BASE2 , 2000-01-17 , 17:56 , AIR5 , 2000-01-17 , 19:10
LEG_17_30 , BASE2 , 2000-01-17 , 16:13 , AIR3 , 2000-01-17 , 16:59
LEG_17_31 , BASE2 , 2000-01-17 , 23:26 , AIR8 , 2000-01-18 , 02:33
LEG_17_32 , AIR2 , 2000-01-17 , 21:00 , BASE2 , 2000-01-17 , 21:51
LEG_17_33 , AIR11 , 2000-01-17 , 00:00 , BASE2 , 2000-01-17 , 01:55
