#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_27_0 , BASE1 , 2000-01-27 , 03:18 , AIR18 , 2000-01-27 , 04:15
LEG_27_1 , BASE2 , 2000-01-27 , 00:58 , AIR19 , 2000-01-27 , 03:50
LEG_27_2 , AIR19 , 2000-01-27 , 14:40 , BASE2 , 2000-01-27 , 17:41
LEG_27_3 , BASE2 , 2000-01-27 , 01:11 , AIR15 , 2000-01-27 , 03:00
LEG_27_4 , AIR13 , 2000-01-27 , 14:25 , BASE2 , 2000-01-27 , 16:21
LEG_27_5 , BASE2 , 2000-01-27 , 11:41 , AIR13 , 2000-01-27 , 13:14
LEG_27_6 , BASE2 , 2000-01-27 , 18:56 , AIR15 , 2000-01-27 , 20:44
LEG_27_7 , BASE2 , 2000-01-27 , 20:38 , AIR6 , 2000-01-27 , 23:11
LEG_27_8 , AIR3 , 2000-01-27 , 18:45 , BASE2 , 2000-01-27 , 19:26
LEG_27_9 , AIR6 , 2000-01-27 , 18:05 , BASE2 , 2000-01-27 , 20:42
LEG_27_10 , BASE1 , 2000-01-27 , 16:24 , AIR9 , 2000-01-27 , 19:36
LEG_27_11 , BASE2 , 2000-01-27 , 22:05 , AIR20 , 2000-01-28 , 00:04
LEG_27_12 , AIR18 , 2000-01-27 , 13:20 , BASE2 , 2000-01-27 , 14:33
LEG_27_13 , AIR9 , 2000-01-27 , 22:00 , BASE2 , 2000-01-28 , 00:40
LEG_27_14 , AIR8 , 2000-01-27 , 13:39 , BASE1 , 2000-01-27 , 15:40
LEG_27_15 , BASE2 , 2000-01-27 , 23:55 , BASE1 , 2000-01-28 , 01:53
LEG_27_16 , BASE3 , 2000-01-27 , 19:00 , AIR9 , 2000-01-27 , 20:47
LEG_27_17 , AIR9 , 2000-01-27 , 20:20 , BASE3 , 2000-01-27 , 22:23
LEG_27_18 , BASE2 , 2000-01-27 , 14:13 , AIR21 , 2000-01-27 , 17:03
LEG_27_19 , AIR21 , 2000-01-27 , 18:15 , BASE2 , 2000-01-27 , 21:10
LEG_27_20 , AIR6 , 2000-01-27 , 15:45 , BASE3 , 2000-01-27 , 17:47
LEG_27_21 , BASE3 , 2000-01-27 , 23:20 , AIR6 , 2000-01-28 , 01:13
LEG_27_22 , BASE3 , 2000-01-27 , 15:10 , AIR6 , 2000-01-27 , 17:05
LEG_27_23 , BASE2 , 2000-01-27 , 22:07 , AIR22 , 2000-01-27 , 23:12
LEG_27_24 , AIR12 , 2000-01-27 , 19:50 , BASE2 , 2000-01-27 , 22:40
LEG_27_25 , BASE2 , 2000-01-27 , 15:34 , AIR12 , 2000-01-27 , 18:19
LEG_27_26 , BASE2 , 2000-01-27 , 17:13 , AIR3 , 2000-01-27 , 17:50
