#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_08_0 , AIR3 , 2000-01-08 , 17:45 , BASE2 , 2000-01-08 , 18:27
LEG_08_1 , BASE2 , 2000-01-08 , 19:24 , AIR2 , 2000-01-08 , 20:15
LEG_08_2 , AIR13 , 2000-01-08 , 13:20 , BASE2 , 2000-01-08 , 15:18
LEG_08_3 , BASE2 , 2000-01-08 , 10:41 , AIR13 , 2000-01-08 , 12:22
LEG_08_4 , AIR5 , 2000-01-08 , 20:35 , BASE2 , 2000-01-08 , 21:49
LEG_08_5 , BASE2 , 2000-01-08 , 23:11 , AIR4 , 2000-01-09 , 00:22
LEG_08_6 , BASE2 , 2000-01-08 , 14:21 , AIR6 , 2000-01-08 , 16:54
LEG_08_7 , AIR4 , 2000-01-08 , 12:20 , BASE2 , 2000-01-08 , 13:26
LEG_08_8 , AIR6 , 2000-01-08 , 17:40 , BASE2 , 2000-01-08 , 20:23
LEG_08_9 , BASE2 , 2000-01-08 , 21:19 , AIR7 , 2000-01-08 , 23:04
LEG_08_10 , AIR8 , 2000-01-08 , 12:40 , BASE1 , 2000-01-08 , 14:30
LEG_08_11 , BASE1 , 2000-01-08 , 15:24 , AIR9 , 2000-01-08 , 18:32
LEG_08_12 , BASE1 , 2000-01-08 , 18:30 , AIR9 , 2000-01-08 , 21:36
LEG_08_13 , AIR10 , 2000-01-08 , 14:20 , BASE1 , 2000-01-08 , 16:49
LEG_08_14 , BASE2 , 2000-01-08 , 21:16 , AIR11 , 2000-01-08 , 23:06
LEG_08_15 , AIR9 , 2000-01-08 , 17:05 , BASE2 , 2000-01-08 , 19:44
LEG_08_16 , AIR2 , 2000-01-08 , 19:30 , BASE1 , 2000-01-08 , 20:54
LEG_08_17 , BASE1 , 2000-01-08 , 22:01 , AIR10 , 2000-01-09 , 00:47
LEG_08_18 , BASE3 , 2000-01-08 , 14:05 , AIR9 , 2000-01-08 , 15:55
LEG_08_19 , AIR9 , 2000-01-08 , 19:20 , BASE3 , 2000-01-08 , 21:18
LEG_08_20 , AIR9 , 2000-01-08 , 23:05 , BASE3 , 2000-01-09 , 00:58
LEG_08_21 , BASE2 , 2000-01-08 , 17:56 , AIR5 , 2000-01-08 , 19:10
LEG_08_22 , AIR6 , 2000-01-08 , 14:00 , BASE2 , 2000-01-08 , 16:41
LEG_08_23 , BASE3 , 2000-01-08 , 22:20 , AIR6 , 2000-01-09 , 00:21
LEG_08_24 , AIR4 , 2000-01-08 , 23:00 , BASE2 , 2000-01-09 , 00:09
LEG_08_25 , BASE2 , 2000-01-08 , 01:04 , AIR12 , 2000-01-08 , 03:46
LEG_08_26 , BASE2 , 2000-01-08 , 17:47 , AIR2 , 2000-01-08 , 18:34
LEG_08_27 , AIR12 , 2000-01-08 , 13:45 , BASE2 , 2000-01-08 , 16:34
LEG_08_28 , AIR12 , 2000-01-08 , 17:00 , BASE2 , 2000-01-08 , 19:52
LEG_08_29 , BASE2 , 2000-01-08 , 21:06 , AIR4 , 2000-01-08 , 22:06
LEG_08_30 , BASE2 , 2000-01-08 , 12:59 , AIR12 , 2000-01-08 , 15:46
LEG_08_31 , BASE2 , 2000-01-08 , 16:13 , AIR3 , 2000-01-08 , 16:59
LEG_08_32 , AIR7 , 2000-01-08 , 10:10 , BASE2 , 2000-01-08 , 12:11
LEG_08_33 , BASE2 , 2000-01-08 , 23:26 , AIR8 , 2000-01-09 , 02:33
LEG_08_34 , AIR2 , 2000-01-08 , 21:00 , BASE2 , 2000-01-08 , 21:51
LEG_08_35 , AIR11 , 2000-01-08 , 00:00 , BASE2 , 2000-01-08 , 01:55
