#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_12_0 , AIR3 , 2000-01-12 , 17:45 , BASE2 , 2000-01-12 , 18:27
LEG_12_1 , AIR13 , 2000-01-12 , 13:20 , BASE2 , 2000-01-12 , 15:18
LEG_12_2 , BASE2 , 2000-01-12 , 10:41 , AIR13 , 2000-01-12 , 12:22
LEG_12_3 , AIR5 , 2000-01-12 , 20:35 , BASE2 , 2000-01-12 , 21:49
LEG_12_4 , BASE2 , 2000-01-12 , 14:21 , AIR6 , 2000-01-12 , 16:54
LEG_12_5 , AIR4 , 2000-01-12 , 12:20 , BASE2 , 2000-01-12 , 13:26
LEG_12_6 , AIR6 , 2000-01-12 , 17:40 , BASE2 , 2000-01-12 , 20:23
LEG_12_7 , AIR8 , 2000-01-12 , 12:40 , BASE1 , 2000-01-12 , 14:30
LEG_12_8 , BASE1 , 2000-01-12 , 15:24 , AIR9 , 2000-01-12 , 18:32
LEG_12_9 , BASE1 , 2000-01-12 , 18:30 , AIR9 , 2000-01-12 , 21:36
LEG_12_10 , AIR10 , 2000-01-12 , 14:20 , BASE1 , 2000-01-12 , 16:49
LEG_12_11 , AIR9 , 2000-01-12 , 17:05 , BASE2 , 2000-01-12 , 19:44
LEG_12_12 , AIR14 , 2000-01-12 , 22:40 , BASE1 , 2000-01-13 , 00:41
LEG_12_13 , AIR2 , 2000-01-12 , 19:30 , BASE1 , 2000-01-12 , 20:54
LEG_12_14 , BASE1 , 2000-01-12 , 22:01 , AIR10 , 2000-01-13 , 00:47
LEG_12_15 , BASE3 , 2000-01-12 , 14:05 , AIR9 , 2000-01-12 , 15:55
LEG_12_16 , AIR9 , 2000-01-12 , 19:20 , BASE3 , 2000-01-12 , 21:18
LEG_12_17 , AIR9 , 2000-01-12 , 23:05 , BASE3 , 2000-01-13 , 00:58
LEG_12_18 , BASE2 , 2000-01-12 , 17:56 , AIR5 , 2000-01-12 , 19:10
LEG_12_19 , AIR6 , 2000-01-12 , 14:00 , BASE2 , 2000-01-12 , 16:41
LEG_12_20 , BASE3 , 2000-01-12 , 22:20 , AIR6 , 2000-01-13 , 00:21
LEG_12_21 , BASE2 , 2000-01-12 , 20:57 , AIR14 , 2000-01-12 , 21:48
LEG_12_22 , BASE2 , 2000-01-12 , 01:04 , AIR12 , 2000-01-12 , 03:46
LEG_12_23 , BASE2 , 2000-01-12 , 17:47 , AIR2 , 2000-01-12 , 18:34
LEG_12_24 , AIR12 , 2000-01-12 , 13:45 , BASE2 , 2000-01-12 , 16:34
LEG_12_25 , AIR12 , 2000-01-12 , 17:00 , BASE2 , 2000-01-12 , 19:52
LEG_12_26 , BASE2 , 2000-01-12 , 12:59 , AIR12 , 2000-01-12 , 15:46
LEG_12_27 , BASE2 , 2000-01-12 , 16:13 , AIR3 , 2000-01-12 , 16:59
LEG_12_28 , AIR7 , 2000-01-12 , 10:10 , BASE2 , 2000-01-12 , 12:11
LEG_12_29 , BASE2 , 2000-01-12 , 19:21 , AIR8 , 2000-01-12 , 22:27
LEG_12_30 , AIR11 , 2000-01-12 , 00:00 , BASE2 , 2000-01-12 , 01:55
