#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_11_0 , AIR3 , 2000-01-11 , 17:45 , BASE2 , 2000-01-11 , 18:27
LEG_11_1 , BASE2 , 2000-01-11 , 19:24 , AIR2 , 2000-01-11 , 20:15
LEG_11_2 , AIR13 , 2000-01-11 , 13:20 , BASE2 , 2000-01-11 , 15:18
LEG_11_3 , BASE2 , 2000-01-11 , 10:41 , AIR13 , 2000-01-11 , 12:22
LEG_11_4 , AIR5 , 2000-01-11 , 20:35 , BASE2 , 2000-01-11 , 21:49
LEG_11_5 , BASE2 , 2000-01-11 , 23:11 , AIR4 , 2000-01-12 , 00:22
LEG_11_6 , BASE2 , 2000-01-11 , 14:21 , AIR6 , 2000-01-11 , 16:54
LEG_11_7 , AIR4 , 2000-01-11 , 12:20 , BASE2 , 2000-01-11 , 13:26
LEG_11_8 , AIR6 , 2000-01-11 , 17:40 , BASE2 , 2000-01-11 , 20:23
LEG_11_9 , BASE2 , 2000-01-11 , 21:19 , AIR7 , 2000-01-11 , 23:04
LEG_11_10 , AIR8 , 2000-01-11 , 12:40 , BASE1 , 2000-01-11 , 14:30
LEG_11_11 , BASE1 , 2000-01-11 , 15:24 , AIR9 , 2000-01-11 , 18:32
LEG_11_12 , BASE1 , 2000-01-11 , 18:30 , AIR9 , 2000-01-11 , 21:36
LEG_11_13 , AIR10 , 2000-01-11 , 14:20 , BASE1 , 2000-01-11 , 16:49
LEG_11_14 , BASE2 , 2000-01-11 , 21:16 , AIR11 , 2000-01-11 , 23:06
LEG_11_15 , AIR9 , 2000-01-11 , 17:05 , BASE2 , 2000-01-11 , 19:44
LEG_11_16 , AIR2 , 2000-01-11 , 19:30 , BASE1 , 2000-01-11 , 20:54
LEG_11_17 , BASE1 , 2000-01-11 , 22:01 , AIR10 , 2000-01-12 , 00:47
LEG_11_18 , BASE3 , 2000-01-11 , 14:05 , AIR9 , 2000-01-11 , 15:55
LEG_11_19 , AIR9 , 2000-01-11 , 19:20 , BASE3 , 2000-01-11 , 21:18
LEG_11_20 , AIR9 , 2000-01-11 , 23:05 , BASE3 , 2000-01-12 , 00:58
LEG_11_21 , BASE2 , 2000-01-11 , 17:56 , AIR5 , 2000-01-11 , 19:10
LEG_11_22 , AIR6 , 2000-01-11 , 14:00 , BASE2 , 2000-01-11 , 16:41
LEG_11_23 , BASE3 , 2000-01-11 , 22:20 , AIR6 , 2000-01-12 , 00:21
LEG_11_24 , AIR4 , 2000-01-11 , 23:00 , BASE2 , 2000-01-12 , 00:09
LEG_11_25 , BASE2 , 2000-01-11 , 01:04 , AIR12 , 2000-01-11 , 03:46
LEG_11_26 , BASE2 , 2000-01-11 , 17:47 , AIR2 , 2000-01-11 , 18:34
LEG_11_27 , AIR12 , 2000-01-11 , 13:45 , BASE2 , 2000-01-11 , 16:34
LEG_11_28 , AIR12 , 2000-01-11 , 17:00 , BASE2 , 2000-01-11 , 19:52
LEG_11_29 , BASE2 , 2000-01-11 , 21:06 , AIR4 , 2000-01-11 , 22:06
LEG_11_30 , BASE2 , 2000-01-11 , 12:59 , AIR12 , 2000-01-11 , 15:46
LEG_11_31 , BASE2 , 2000-01-11 , 16:13 , AIR3 , 2000-01-11 , 16:59
LEG_11_32 , AIR7 , 2000-01-11 , 10:10 , BASE2 , 2000-01-11 , 12:11
LEG_11_33 , BASE2 , 2000-01-11 , 23:26 , AIR8 , 2000-01-12 , 02:33
LEG_11_34 , AIR2 , 2000-01-11 , 21:00 , BASE2 , 2000-01-11 , 21:51
LEG_11_35 , AIR11 , 2000-01-11 , 00:00 , BASE2 , 2000-01-11 , 01:55
