#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_20_0 , AIR15 , 2000-01-20 , 21:05 , BASE1 , 2000-01-21 , 00:21
LEG_20_1 , AIR2 , 2000-01-20 , 11:40 , BASE1 , 2000-01-20 , 13:07
LEG_20_2 , BASE1 , 2000-01-20 , 12:18 , AIR16 , 2000-01-20 , 13:47
LEG_20_3 , BASE2 , 2000-01-20 , 21:19 , AIR7 , 2000-01-20 , 23:04
LEG_20_4 , AIR5 , 2000-01-20 , 20:35 , BASE2 , 2000-01-20 , 21:49
LEG_20_5 , AIR4 , 2000-01-20 , 23:00 , BASE2 , 2000-01-21 , 00:09
LEG_20_6 , AIR8 , 2000-01-20 , 12:40 , BASE1 , 2000-01-20 , 14:30
LEG_20_7 , BASE1 , 2000-01-20 , 15:24 , AIR9 , 2000-01-20 , 18:32
LEG_20_8 , BASE1 , 2000-01-20 , 18:30 , AIR9 , 2000-01-20 , 21:36
LEG_20_9 , AIR10 , 2000-01-20 , 14:20 , BASE1 , 2000-01-20 , 16:49
LEG_20_10 , AIR9 , 2000-01-20 , 17:05 , BASE2 , 2000-01-20 , 19:44
LEG_20_11 , BASE2 , 2000-01-20 , 21:06 , AIR4 , 2000-01-20 , 22:06
LEG_20_12 , BASE2 , 2000-01-20 , 00:59 , AIR2 , 2000-01-20 , 01:52
LEG_20_13 , BASE2 , 2000-01-20 , 17:53 , AIR15 , 2000-01-20 , 19:45
LEG_20_14 , AIR16 , 2000-01-20 , 14:55 , BASE2 , 2000-01-20 , 16:47
LEG_20_15 , AIR2 , 2000-01-20 , 19:30 , BASE1 , 2000-01-20 , 20:54
LEG_20_16 , BASE1 , 2000-01-20 , 22:01 , AIR10 , 2000-01-21 , 00:47
LEG_20_17 , BASE1 , 2000-01-20 , 15:10 , BASE2 , 2000-01-20 , 16:52
LEG_20_18 , BASE3 , 2000-01-20 , 14:05 , AIR9 , 2000-01-20 , 15:55
LEG_20_19 , AIR9 , 2000-01-20 , 19:20 , BASE3 , 2000-01-20 , 21:18
LEG_20_20 , AIR9 , 2000-01-20 , 23:05 , BASE3 , 2000-01-21 , 00:58
LEG_20_21 , BASE2 , 2000-01-20 , 17:47 , AIR2 , 2000-01-20 , 18:34
LEG_20_22 , AIR6 , 2000-01-20 , 14:00 , BASE2 , 2000-01-20 , 16:41
LEG_20_23 , BASE3 , 2000-01-20 , 22:20 , AIR6 , 2000-01-21 , 00:21
LEG_20_24 , BASE2 , 2000-01-20 , 17:56 , AIR5 , 2000-01-20 , 19:10
LEG_20_25 , AIR12 , 2000-01-20 , 17:00 , BASE2 , 2000-01-20 , 19:52
LEG_20_26 , BASE2 , 2000-01-20 , 12:59 , AIR12 , 2000-01-20 , 15:46
LEG_20_27 , BASE2 , 2000-01-20 , 23:26 , AIR8 , 2000-01-21 , 02:33
