#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_19_0 , AIR3 , 2000-01-19 , 17:45 , BASE2 , 2000-01-19 , 18:27
LEG_19_1 , AIR13 , 2000-01-19 , 13:20 , BASE2 , 2000-01-19 , 15:18
LEG_19_2 , BASE2 , 2000-01-19 , 10:41 , AIR13 , 2000-01-19 , 12:22
LEG_19_3 , BASE2 , 2000-01-19 , 14:21 , AIR6 , 2000-01-19 , 16:54
LEG_19_4 , AIR4 , 2000-01-19 , 12:20 , BASE2 , 2000-01-19 , 13:26
LEG_19_5 , AIR6 , 2000-01-19 , 17:40 , BASE2 , 2000-01-19 , 20:23
LEG_19_6 , AIR8 , 2000-01-19 , 12:40 , BASE1 , 2000-01-19 , 14:30
LEG_19_7 , BASE1 , 2000-01-19 , 15:24 , AIR9 , 2000-01-19 , 18:32
LEG_19_8 , BASE1 , 2000-01-19 , 18:30 , AIR9 , 2000-01-19 , 21:36
LEG_19_9 , AIR10 , 2000-01-19 , 14:20 , BASE1 , 2000-01-19 , 16:49
LEG_19_10 , AIR1 , 2000-01-19 , 23:00 , BASE2 , 2000-01-20 , 00:17
LEG_19_11 , AIR9 , 2000-01-19 , 17:05 , BASE2 , 2000-01-19 , 19:44
LEG_19_12 , BASE2 , 2000-01-19 , 00:59 , AIR2 , 2000-01-19 , 01:52
LEG_19_13 , AIR14 , 2000-01-19 , 22:40 , BASE1 , 2000-01-20 , 00:41
LEG_19_14 , AIR2 , 2000-01-19 , 19:30 , BASE1 , 2000-01-19 , 20:54
LEG_19_15 , BASE1 , 2000-01-19 , 22:01 , AIR10 , 2000-01-20 , 00:47
LEG_19_16 , BASE3 , 2000-01-19 , 14:05 , AIR9 , 2000-01-19 , 15:55
LEG_19_17 , AIR9 , 2000-01-19 , 19:20 , BASE3 , 2000-01-19 , 21:18
LEG_19_18 , AIR9 , 2000-01-19 , 23:05 , BASE3 , 2000-01-20 , 00:58
LEG_19_19 , BASE2 , 2000-01-19 , 17:47 , AIR2 , 2000-01-19 , 18:34
LEG_19_20 , AIR6 , 2000-01-19 , 14:00 , BASE2 , 2000-01-19 , 16:41
LEG_19_21 , BASE3 , 2000-01-19 , 22:20 , AIR6 , 2000-01-20 , 00:21
LEG_19_22 , BASE2 , 2000-01-19 , 20:57 , AIR14 , 2000-01-19 , 21:48
LEG_19_23 , AIR2 , 2000-01-19 , 11:10 , BASE2 , 2000-01-19 , 11:57
LEG_19_24 , BASE2 , 2000-01-19 , 20:55 , AIR1 , 2000-01-19 , 22:09
LEG_19_25 , AIR12 , 2000-01-19 , 17:00 , BASE2 , 2000-01-19 , 19:52
LEG_19_26 , BASE2 , 2000-01-19 , 12:59 , AIR12 , 2000-01-19 , 15:46
LEG_19_27 , BASE2 , 2000-01-19 , 16:13 , AIR3 , 2000-01-19 , 16:59
LEG_19_28 , BASE2 , 2000-01-19 , 19:21 , AIR8 , 2000-01-19 , 22:27
LEG_19_29 , AIR11 , 2000-01-19 , 00:00 , BASE2 , 2000-01-19 , 01:55
