#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_14_0 , BASE1 , 2000-01-14 , 12:00 , AIR1 , 2000-01-14 , 13:13
LEG_14_1 , AIR1 , 2000-01-14 , 14:05 , BASE2 , 2000-01-14 , 15:19
LEG_14_2 , AIR17 , 2000-01-14 , 23:15 , BASE1 , 2000-01-15 , 01:03
LEG_14_3 , BASE2 , 2000-01-14 , 21:07 , AIR17 , 2000-01-14 , 22:11
LEG_14_4 , AIR3 , 2000-01-14 , 17:45 , BASE2 , 2000-01-14 , 18:27
LEG_14_5 , BASE2 , 2000-01-14 , 19:24 , AIR2 , 2000-01-14 , 20:15
LEG_14_6 , AIR5 , 2000-01-14 , 20:35 , BASE2 , 2000-01-14 , 21:49
LEG_14_7 , BASE2 , 2000-01-14 , 23:11 , AIR4 , 2000-01-15 , 00:22
LEG_14_8 , BASE2 , 2000-01-14 , 14:21 , AIR6 , 2000-01-14 , 16:54
LEG_14_9 , AIR4 , 2000-01-14 , 12:20 , BASE2 , 2000-01-14 , 13:26
LEG_14_10 , AIR6 , 2000-01-14 , 17:40 , BASE2 , 2000-01-14 , 20:23
LEG_14_11 , AIR8 , 2000-01-14 , 12:40 , BASE1 , 2000-01-14 , 14:30
LEG_14_12 , BASE1 , 2000-01-14 , 15:24 , AIR9 , 2000-01-14 , 18:32
LEG_14_13 , BASE1 , 2000-01-14 , 18:30 , AIR9 , 2000-01-14 , 21:36
LEG_14_14 , AIR10 , 2000-01-14 , 14:20 , BASE1 , 2000-01-14 , 16:49
LEG_14_15 , BASE2 , 2000-01-14 , 21:16 , AIR11 , 2000-01-14 , 23:06
LEG_14_16 , AIR9 , 2000-01-14 , 17:05 , BASE2 , 2000-01-14 , 19:44
LEG_14_17 , AIR2 , 2000-01-14 , 19:30 , BASE1 , 2000-01-14 , 20:54
LEG_14_18 , BASE1 , 2000-01-14 , 22:01 , AIR10 , 2000-01-15 , 00:47
LEG_14_19 , BASE3 , 2000-01-14 , 14:05 , AIR9 , 2000-01-14 , 15:55
LEG_14_20 , AIR9 , 2000-01-14 , 19:20 , BASE3 , 2000-01-14 , 21:18
LEG_14_21 , AIR9 , 2000-01-14 , 23:05 , BASE3 , 2000-01-15 , 00:58
LEG_14_22 , BASE2 , 2000-01-14 , 17:56 , AIR5 , 2000-01-14 , 19:10
LEG_14_23 , AIR6 , 2000-01-14 , 14:00 , BASE2 , 2000-01-14 , 16:41
LEG_14_24 , BASE3 , 2000-01-14 , 22:20 , AIR6 , 2000-01-15 , 00:21
LEG_14_25 , AIR4 , 2000-01-14 , 23:00 , BASE2 , 2000-01-15 , 00:09
LEG_14_26 , BASE2 , 2000-01-14 , 01:04 , AIR12 , 2000-01-14 , 03:46
LEG_14_27 , BASE2 , 2000-01-14 , 17:47 , AIR2 , 2000-01-14 , 18:34
LEG_14_28 , AIR12 , 2000-01-14 , 13:45 , BASE2 , 2000-01-14 , 16:34
LEG_14_29 , AIR12 , 2000-01-14 , 17:00 , BASE2 , 2000-01-14 , 19:52
LEG_14_30 , BASE2 , 2000-01-14 , 21:06 , AIR4 , 2000-01-14 , 22:06
LEG_14_31 , BASE2 , 2000-01-14 , 12:59 , AIR12 , 2000-01-14 , 15:46
LEG_14_32 , BASE2 , 2000-01-14 , 16:13 , AIR3 , 2000-01-14 , 16:59
LEG_14_33 , AIR7 , 2000-01-14 , 10:10 , BASE2 , 2000-01-14 , 12:11
LEG_14_34 , BASE2 , 2000-01-14 , 23:26 , AIR8 , 2000-01-15 , 02:33
LEG_14_35 , AIR2 , 2000-01-14 , 21:00 , BASE2 , 2000-01-14 , 21:51
