#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_21_0 , BASE1 , 2000-01-21 , 12:00 , AIR1 , 2000-01-21 , 13:13
LEG_21_1 , AIR1 , 2000-01-21 , 14:05 , BASE2 , 2000-01-21 , 15:19
LEG_21_2 , AIR3 , 2000-01-21 , 17:45 , BASE2 , 2000-01-21 , 18:27
LEG_21_3 , BASE2 , 2000-01-21 , 19:24 , AIR2 , 2000-01-21 , 20:15
LEG_21_4 , AIR5 , 2000-01-21 , 20:35 , BASE2 , 2000-01-21 , 21:49
LEG_21_5 , BASE2 , 2000-01-21 , 23:11 , AIR4 , 2000-01-22 , 00:22
LEG_21_6 , AIR4 , 2000-01-21 , 23:00 , BASE2 , 2000-01-22 , 00:09
LEG_21_7 , BASE2 , 2000-01-21 , 14:21 , AIR6 , 2000-01-21 , 16:54
LEG_21_8 , AIR6 , 2000-01-21 , 17:40 , BASE2 , 2000-01-21 , 20:23
LEG_21_9 , BASE2 , 2000-01-21 , 21:16 , AIR11 , 2000-01-21 , 23:06
LEG_21_10 , AIR8 , 2000-01-21 , 12:40 , BASE1 , 2000-01-21 , 14:30
LEG_21_11 , BASE1 , 2000-01-21 , 15:24 , AIR9 , 2000-01-21 , 18:32
LEG_21_12 , BASE1 , 2000-01-21 , 18:30 , AIR9 , 2000-01-21 , 21:36
LEG_21_13 , AIR10 , 2000-01-21 , 14:20 , BASE1 , 2000-01-21 , 16:49
LEG_21_14 , AIR9 , 2000-01-21 , 17:05 , BASE2 , 2000-01-21 , 19:44
LEG_21_15 , BASE2 , 2000-01-21 , 21:06 , AIR4 , 2000-01-21 , 22:06
LEG_21_16 , BASE2 , 2000-01-21 , 00:59 , AIR2 , 2000-01-21 , 01:52
LEG_21_17 , AIR2 , 2000-01-21 , 19:30 , BASE1 , 2000-01-21 , 20:54
LEG_21_18 , BASE1 , 2000-01-21 , 22:01 , AIR10 , 2000-01-22 , 00:47
LEG_21_19 , BASE3 , 2000-01-21 , 14:05 , AIR9 , 2000-01-21 , 15:55
LEG_21_20 , AIR9 , 2000-01-21 , 19:20 , BASE3 , 2000-01-21 , 21:18
LEG_21_21 , AIR9 , 2000-01-21 , 23:05 , BASE3 , 2000-01-22 , 00:58
LEG_21_22 , BASE2 , 2000-01-21 , 17:47 , AIR2 , 2000-01-21 , 18:34
LEG_21_23 , AIR6 , 2000-01-21 , 14:00 , BASE2 , 2000-01-21 , 16:41
LEG_21_24 , BASE3 , 2000-01-21 , 22:20 , AIR6 , 2000-01-22 , 00:21
LEG_21_25 , AIR2 , 2000-01-21 , 11:10 , BASE2 , 2000-01-21 , 11:57
LEG_21_26 , BASE2 , 2000-01-21 , 13:12 , AIR17 , 2000-01-21 , 14:25
LEG_21_27 , AIR17 , 2000-01-21 , 15:40 , BASE2 , 2000-01-21 , 16:54
LEG_21_28 , BASE2 , 2000-01-21 , 17:56 , AIR5 , 2000-01-21 , 19:10
LEG_21_29 , BASE2 , 2000-01-21 , 16:13 , AIR3 , 2000-01-21 , 16:59
LEG_21_30 , AIR7 , 2000-01-21 , 10:10 , BASE2 , 2000-01-21 , 12:11
LEG_21_31 , BASE2 , 2000-01-21 , 23:26 , AIR8 , 2000-01-22 , 02:33
LEG_21_32 , AIR2 , 2000-01-21 , 21:00 , BASE2 , 2000-01-21 , 21:51
