#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_01_0 , BASE1 , 2000-01-01 , 12:00 , AIR1 , 2000-01-01 , 13:13
LEG_01_1 , AIR1 , 2000-01-01 , 14:05 , BASE2 , 2000-01-01 , 15:19
LEG_01_2 , AIR3 , 2000-01-01 , 17:45 , BASE2 , 2000-01-01 , 18:27
LEG_01_3 , BASE2 , 2000-01-01 , 19:24 , AIR2 , 2000-01-01 , 20:15
LEG_01_4 , AIR5 , 2000-01-01 , 20:35 , BASE2 , 2000-01-01 , 21:49
LEG_01_5 , BASE2 , 2000-01-01 , 23:11 , AIR4 , 2000-01-02 , 00:22
LEG_01_6 , BASE2 , 2000-01-01 , 14:21 , AIR6 , 2000-01-01 , 16:54
LEG_01_8 , AIR6 , 2000-01-01 , 17:40 , BASE2 , 2000-01-01 , 20:23
LEG_01_9 , BASE2 , 2000-01-01 , 21:19 , AIR7 , 2000-01-01 , 23:04
LEG_01_11 , BASE1 , 2000-01-01 , 15:24 , AIR9 , 2000-01-01 , 18:32
LEG_01_12 , BASE1 , 2000-01-01 , 18:30 , AIR9 , 2000-01-01 , 21:36
LEG_01_14 , BASE2 , 2000-01-01 , 21:16 , AIR11 , 2000-01-01 , 23:06
LEG_01_15 , AIR9 , 2000-01-01 , 17:05 , BASE2 , 2000-01-01 , 19:44
LEG_01_16 , AIR2 , 2000-01-01 , 19:30 , BASE1 , 2000-01-01 , 20:54
LEG_01_17 , BASE1 , 2000-01-01 , 22:01 , AIR10 , 2000-01-02 , 00:47
LEG_01_18 , BASE3 , 2000-01-01 , 14:05 , AIR9 , 2000-01-01 , 15:55
LEG_01_19 , AIR9 , 2000-01-01 , 19:20 , BASE3 , 2000-01-01 , 21:18
LEG_01_20 , AIR9 , 2000-01-01 , 23:05 , BASE3 , 2000-01-02 , 00:58
LEG_01_21 , BASE2 , 2000-01-01 , 17:56 , AIR5 , 2000-01-01 , 19:10
LEG_01_23 , BASE3 , 2000-01-01 , 22:20 , AIR6 , 2000-01-02 , 00:21
LEG_01_25 , AIR4 , 2000-01-01 , 23:00 , BASE2 , 2000-01-02 , 00:09
LEG_01_26 , BASE2 , 2000-01-01 , 17:47 , AIR2 , 2000-01-01 , 18:34
LEG_01_28 , AIR12 , 2000-01-01 , 17:00 , BASE2 , 2000-01-01 , 19:52
LEG_01_29 , BASE2 , 2000-01-01 , 21:06 , AIR4 , 2000-01-01 , 22:06
LEG_01_30 , BASE2 , 2000-01-01 , 12:59 , AIR12 , 2000-01-01 , 15:46
LEG_01_31 , BASE2 , 2000-01-01 , 16:13 , AIR3 , 2000-01-01 , 16:59
LEG_01_32 , BASE2 , 2000-01-01 , 23:26 , AIR8 , 2000-01-02 , 02:33
LEG_01_33 , AIR2 , 2000-01-01 , 21:00 , BASE2 , 2000-01-01 , 21:51
