#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_03_0 , AIR3 , 2000-01-03 , 17:45 , BASE2 , 2000-01-03 , 18:27
LEG_03_1 , BASE2 , 2000-01-03 , 19:24 , AIR2 , 2000-01-03 , 20:15
LEG_03_2 , AIR13 , 2000-01-03 , 13:20 , BASE2 , 2000-01-03 , 15:18
LEG_03_3 , BASE2 , 2000-01-03 , 10:41 , AIR13 , 2000-01-03 , 12:22
LEG_03_4 , AIR5 , 2000-01-03 , 20:35 , BASE2 , 2000-01-03 , 21:49
LEG_03_5 , BASE2 , 2000-01-03 , 23:11 , AIR4 , 2000-01-04 , 00:22
LEG_03_6 , BASE2 , 2000-01-03 , 14:21 , AIR6 , 2000-01-03 , 16:54
LEG_03_7 , AIR4 , 2000-01-03 , 12:20 , BASE2 , 2000-01-03 , 13:26
LEG_03_8 , AIR6 , 2000-01-03 , 17:40 , BASE2 , 2000-01-03 , 20:23
LEG_03_9 , BASE2 , 2000-01-03 , 21:19 , AIR7 , 2000-01-03 , 23:04
LEG_03_10 , AIR8 , 2000-01-03 , 12:40 , BASE1 , 2000-01-03 , 14:30
LEG_03_11 , BASE1 , 2000-01-03 , 15:24 , AIR9 , 2000-01-03 , 18:32
LEG_03_12 , BASE1 , 2000-01-03 , 18:30 , AIR9 , 2000-01-03 , 21:36
LEG_03_13 , AIR10 , 2000-01-03 , 14:20 , BASE1 , 2000-01-03 , 16:49
LEG_03_14 , BASE2 , 2000-01-03 , 21:16 , AIR11 , 2000-01-03 , 23:06
LEG_03_15 , AIR9 , 2000-01-03 , 17:05 , BASE2 , 2000-01-03 , 19:44
LEG_03_16 , AIR2 , 2000-01-03 , 19:30 , BASE1 , 2000-01-03 , 20:54
LEG_03_17 , BASE1 , 2000-01-03 , 22:01 , AIR10 , 2000-01-04 , 00:47
LEG_03_18 , BASE3 , 2000-01-03 , 14:05 , AIR9 , 2000-01-03 , 15:55
LEG_03_19 , AIR9 , 2000-01-03 , 19:20 , BASE3 , 2000-01-03 , 21:18
LEG_03_20 , AIR9 , 2000-01-03 , 23:05 , BASE3 , 2000-01-04 , 00:58
LEG_03_21 , BASE2 , 2000-01-03 , 17:56 , AIR5 , 2000-01-03 , 19:10
LEG_03_22 , AIR6 , 2000-01-03 , 14:00 , BASE2 , 2000-01-03 , 16:41
LEG_03_23 , BASE3 , 2000-01-03 , 22:20 , AIR6 , 2000-01-04 , 00:21
LEG_03_24 , AIR4 , 2000-01-03 , 23:00 , BASE2 , 2000-01-04 , 00:09
LEG_03_25 , BASE2 , 2000-01-03 , 01:04 , AIR12 , 2000-01-03 , 03:46
LEG_03_26 , BASE2 , 2000-01-03 , 17:47 , AIR2 , 2000-01-03 , 18:34
LEG_03_27 , AIR12 , 2000-01-03 , 13:45 , BASE2 , 2000-01-03 , 16:34
LEG_03_28 , AIR12 , 2000-01-03 , 17:00 , BASE2 , 2000-01-03 , 19:52
LEG_03_29 , BASE2 , 2000-01-03 , 21:06 , AIR4 , 2000-01-03 , 22:06
LEG_03_30 , BASE2 , 2000-01-03 , 12:59 , AIR12 , 2000-01-03 , 15:46
LEG_03_31 , BASE2 , 2000-01-03 , 16:13 , AIR3 , 2000-01-03 , 16:59
LEG_03_32 , AIR7 , 2000-01-03 , 10:10 , BASE2 , 2000-01-03 , 12:11
LEG_03_33 , BASE2 , 2000-01-03 , 23:26 , AIR8 , 2000-01-04 , 02:33
LEG_03_34 , AIR2 , 2000-01-03 , 21:00 , BASE2 , 2000-01-03 , 21:51
LEG_03_35 , AIR11 , 2000-01-03 , 00:00 , BASE2 , 2000-01-03 , 01:55
