#leg_nb , airport_dep , date_dep , hour_dep , airport_arr , date_arr , hour_arr
LEG_18_0 , AIR3 , 2000-01-18 , 17:45 , BASE2 , 2000-01-18 , 18:27
LEG_18_1 , BASE2 , 2000-01-18 , 19:24 , AIR2 , 2000-01-18 , 20:15
LEG_18_2 , AIR13 , 2000-01-18 , 13:20 , BASE2 , 2000-01-18 , 15:18
LEG_18_3 , BASE2 , 2000-01-18 , 10:41 , AIR13 , 2000-01-18 , 12:22
LEG_18_4 , AIR5 , 2000-01-18 , 20:35 , BASE2 , 2000-01-18 , 21:49
LEG_18_5 , BASE2 , 2000-01-18 , 23:11 , AIR4 , 2000-01-19 , 00:22
LEG_18_6 , AIR4 , 2000-01-18 , 23:00 , BASE2 , 2000-01-19 , 00:09
LEG_18_7 , BASE2 , 2000-01-18 , 14:21 , AIR6 , 2000-01-18 , 16:54
LEG_18_8 , AIR4 , 2000-01-18 , 12:20 , BASE2 , 2000-01-18 , 13:26
LEG_18_9 , AIR6 , 2000-01-18 , 17:40 , BASE2 , 2000-01-18 , 20:23
LEG_18_10 , BASE2 , 2000-01-18 , 21:16 , AIR11 , 2000-01-18 , 23:06
LEG_18_11 , AIR8 , 2000-01-18 , 12:40 , BASE1 , 2000-01-18 , 14:30
LEG_18_12 , BASE1 , 2000-01-18 , 15:24 , AIR9 , 2000-01-18 , 18:32
LEG_18_13 , BASE1 , 2000-01-18 , 18:30 , AIR9 , 2000-01-18 , 21:36
LEG_18_14 , AIR10 , 2000-01-18 , 14:20 , BASE1 , 2000-01-18 , 16:49
LEG_18_15 , AIR9 , 2000-01-18 , 17:05 , BASE2 , 2000-01-18 , 19:44
LEG_18_16 , BASE2 , 2000-01-18 , 21:06 , AIR4 , 2000-01-18 , 22:06
LEG_18_17 , BASE2 , 2000-01-18 , 00:59 , AIR2 , 2000-01-18 , 01:52
LEG_18_18 , AIR2 , 2000-01-18 , 19:30 , BASE1 , 2000-01-18 , 20:54
LEG_18_19 , BASE1 , 2000-01-18 , 22:01 , AIR10 , 2000-01-19 , 00:47
LEG_18_20 , BASE3 , 2000-01-18 , 14:05 , AIR9 , 2000-01-18 , 15:55
LEG_18_21 , AIR9 , 2000-01-18 , 19:20 , BASE3 , 2000-01-18 , 21:18
LEG_18_22 , AIR9 , 2000-01-18 , 23:05 , BASE3 , 2000-01-19 , 00:58
LEG_18_23 , BASE2 , 2000-01-18 , 17:47 , AIR2 , 2000-01-18 , 18:34
LEG_18_24 , AIR6 , 2000-01-18 , 14:00 , BASE2 , 2000-01-18 , 16:41
LEG_18_25 , BASE3 , 2000-01-18 , 22:20 , AIR6 , 2000-01-19 , 00:21
LEG_18_26 , AIR2 , 2000-01-18 , 11:10 , BASE2 , 2000-01-18 , 11:57
LEG_18_27 , BASE2 , 2000-01-18 , 13:12 , AIR17 , 2000-01-18 , 14:25
LEG_18_28 , AIR17 , 2000-01-18 , 15:40 , BASE2 , 2000-01-18 , 16:54
LEG_18_29 , BASE2 , 2000-01-18 , 17:56 , AIR5 , 2000-01-18 , 19:10
LEG_18_30 , BASE2 , 2000-01-18 , 16:13 , AIR3 , 2000-01-18 , 16:59
LEG_18_31 , BASE2 , 2000-01-18 , 23:26 , AIR8 , 2000-01-19 , 02:33
LEG_18_32 , AIR2 , 2000-01-18 , 21:00 , BASE2 , 2000-01-18 , 21:51
LEG_18_33 , AIR11 , 2000-01-18 , 00:00 , BASE2 , 2000-01-18 , 01:55
